,fp32,top1
beit_large_patch16_224,21.330020427703857,90.151
convnext_xlarge_in22ft1k,21.824769973754883,89.933
convnext_large_in22ft1k,15.023713111877441,89.811
swin_large_patch4_window7_224,17.223894596099854,89.792
convnext_base_in22ft1k,10.011317729949951,89.628
xcit_large_24_p8_224_dist,67.19565153121948,89.517
vit_base_patch8_224,37.55551815032959,89.427
beit_base_patch16_224,7.529146671295166,89.41
vit_large_patch16_224,20.30693531036377,89.312
xcit_medium_24_p8_224_dist,41.19997262954712,89.293
xcit_small_24_p8_224_dist,29.569995403289795,89.203
swin_base_patch4_window7_224,13.018548488616943,89.145
ig_resnext101_32x48d,209.78129625320435,89.118
ig_resnext101_32x32d,132.99628257751465,89.109
xcit_large_24_p16_224_dist,19.60197687149048,89.041
resmlp_big_24_224_in22ft1k,34.17351245880127,89.011
xcit_small_12_p8_224_dist,16.266090869903564,89.002
vit_base_patch16_224,7.095944881439209,88.864
ig_resnext101_32x16d,35.64509630203247,88.825
xcit_medium_24_p16_224_dist,19.10825490951538,88.799
swsl_resnext101_32x8d,19.363136291503906,88.778
vit_base_patch16_224_miil,6.888918876647949,88.742
pit_b_distilled_224,8.160560131072998,88.674
convnext_large,15.413098335266113,88.573
xcit_small_24_p16_224_dist,19.14161205291748,88.541
cait_s24_224,14.487385749816895,88.451
resmlp_big_24_distilled_224,34.13303852081299,88.443
vit_large_r50_s32_224,17.136824131011963,88.417
convnext_base,10.280053615570068,88.345
xcit_small_12_p16_224_dist,10.65110445022583,88.251
deit_base_distilled_patch16_224,7.141168117523193,88.214
xcit_large_24_p8_224,68.47956657409668,88.159
ig_resnext101_32x8d,19.347553253173828,88.155
swsl_resnext101_32x4d,12.494845390319824,88.095
convnext_small,8.828063011169434,88.052
xcit_tiny_24_p8_224_dist,18.574306964874268,88.044
xcit_small_24_p8_224,29.81912851333618,87.967
twins_svt_large,14.563868045806885,87.901
twins_pcpvt_large,24.161112308502197,87.877
xcit_small_12_p8_224,16.130428314208984,87.826
resnetv2_50x1_bit_distilled,7.660644054412842,87.792
twins_pcpvt_base,17.1039080619812,87.734
swin_small_patch4_window7_224,13.149974346160889,87.668
twins_svt_base,13.463866710662842,87.642
jx_nest_base,13.895213603973389,87.608
swsl_resnext101_32x16d,35.57924032211304,87.608
xcit_medium_24_p8_224,41.584742069244385,87.604
swsl_resnext50_32x4d,7.035844326019287,87.595
levit_384,8.390529155731201,87.557
jx_nest_small,10.838394165039062,87.493
resnetv2_152x2_bit_teacher,46.67759895324707,87.493
resnet152,14.783093929290771,87.454
coat_lite_small,13.37568998336792,87.38
xcit_tiny_24_p8_224,18.555846214294434,87.377
resnetv2_101,10.43726921081543,87.318
convnext_tiny,5.076277256011963,87.313
ecaresnet101d,13.19871187210083,87.29
pit_s_distilled_224,5.891351699829102,87.273
mixer_b16_224_miil,5.02307653427124,87.228
xcit_tiny_12_p8_224_dist,10.722513198852539,87.222
convit_base,10.301809310913086,87.2
visformer_small,12.261354923248291,87.185
xcit_small_24_p16_224,18.74488592147827,87.132
resnet101,10.390040874481201,87.083
convit_small,7.084593772888184,87.049
xcit_small_12_p16_224,10.7073974609375,87.012
jx_nest_tiny,7.253236770629883,87.008
deit_small_distilled_patch16_224,5.374166965484619,87.002
resmlp_36_distilled_224,8.577532768249512,86.989
xcit_large_24_p16_224,20.206291675567627,86.957
xcit_medium_24_p16_224,18.9121413230896,86.938
convnext_tiny_hnf,5.20892858505249,86.921
tnt_s_patch16_224,11.865389347076416,86.906
ssl_resnext101_32x16d,35.50900459289551,86.867
vit_small_patch16_224,5.314064025878906,86.865
vit_small_r26_s32_224,9.324173927307129,86.854
rexnet_200,8.676526546478271,86.844
deit_base_patch16_224,7.112069129943848,86.829
swsl_resnet50,5.69875955581665,86.825
ssl_resnext101_32x8d,19.221656322479248,86.801
coat_mini,22.50577211380005,86.79
twins_svt_small,9.938509464263916,86.758
levit_256,7.915101051330566,86.728
seresnext50_32x4d,10.353505611419678,86.696
pit_b_224,8.090710639953613,86.688
swin_tiny_patch4_window7_224,7.008519172668457,86.662
wide_resnet50_2,11.220738887786865,86.645
twins_pcpvt_small,10.364930629730225,86.624
resmlp_24_distilled_224,6.013643741607666,86.62
resnest50d_4s2x40d,22.737603187561035,86.588
repvgg_b3,19.03630495071411,86.562
xcit_tiny_24_p16_224_dist,19.14799451828003,86.534
ssl_resnext101_32x4d,12.40248441696167,86.479
ecaresnet50d,7.260231971740723,86.47
gluon_resnet152_v1s,14.737098217010498,86.47
haloregnetz_b,13.67612361907959,86.464
resnest50d_1s4x24d,14.005622863769531,86.445
repvgg_b3g4,21.469557285308838,86.361
legacy_senet154,34.78443145751953,86.34
cait_xxs36_224,20.45429229736328,86.338
resnext50_32x4d,6.816830635070801,86.334
gernet_m,5.102229118347168,86.331
pit_s_224,5.802435874938965,86.325
gluon_senet154,34.912269115448,86.272
resnest50d,13.726053237915039,86.24
ecaresnet101d_pruned,12.104275226593018,86.21
rexnet_150,8.617901802062988,86.156
xcit_tiny_12_p8_224,10.457496643066406,86.105
ssl_resnext50_32x4d,7.0175957679748535,86.088
gluon_resnet101_v1s,10.573070049285889,86.056
ecaresnetlight,6.995887756347656,86.047
gluon_seresnext101_32x4d,20.58621644973755,86.032
resnetv2_50,5.7357048988342285,86.022
resnet50d,6.155939102172852,85.998
gluon_seresnext101_64x4d,23.90171766281128,85.958
vit_base_patch32_224,5.4349684715271,85.958
gluon_resnet152_v1d,14.936988353729248,85.913
resnet50_gn,6.199815273284912,85.885
seresnet50,8.887426853179932,85.853
gluon_resnet101_v1d,10.5153489112854,85.849
repvgg_b2g4,19.929993152618408,85.847
mixnet_xl,15.671555995941162,85.795
cspresnext50,6.937711238861084,85.748
ese_vovnet39b,6.915445327758789,85.744
gluon_resnext101_32x4d,12.917296886444092,85.744
legacy_seresnext101_32x4d,20.41252374649048,85.744
xcit_tiny_24_p16_224,19.209411144256592,85.736
regnety_320,36.98447227478027,85.723
resnet50,5.773820877075195,85.719
resmlp_big_24_224,34.094531536102295,85.697
gluon_resnext101_64x4d,19.746713638305664,85.693
deit_small_patch16_224,5.586421489715576,85.678
pit_xs_distilled_224,5.78035831451416,85.652
dpn107,25.14744758605957,85.65
resmlp_36_224,8.780181407928467,85.618
ecaresnet50d_pruned,7.013001441955566,85.58
gluon_resnet152_v1c,14.960885047912598,85.576
levit_192,7.703721523284912,85.569
resnext50d_32x4d,7.077133655548096,85.561
regnety_120,23.424253463745117,85.546
regnetx_320,36.52901649475098,85.516
dpn92,12.669572830200195,85.503
rexnet_130,8.681139945983887,85.473
gluon_resnet152_v1b,14.61836576461792,85.467
resnetrs50,9.30058479309082,85.46
dpn131,23.13347816467285,85.394
regnetx_160,26.61684513092041,85.388
dla102x2,16.012027263641357,85.375
gmlp_s16_224,7.957139015197754,85.349
gluon_seresnext50_32x4d,10.371260643005371,85.336
skresnext50_32x4d,13.965444564819336,85.317
dpn98,16.97061538696289,85.309
gluon_resnet101_v1c,10.414409637451172,85.302
dpn68b,10.688762664794922,85.291
resnetblur50,5.85850715637207,85.289
resmlp_24_224,6.24377965927124,85.268
coat_lite_mini,7.415227890014648,85.253
cait_xxs24_224,14.695963859558105,85.228
xcit_tiny_12_p16_224_dist,11.01663589477539,85.206
resnext101_32x8d,19.250683784484863,85.195
hrnet_w48,35.442304611206055,85.153
gluon_resnet101_v1b,10.232810974121094,85.144
regnetx_120,21.471972465515137,85.127
hrnet_w64,32.543818950653076,85.112
ssl_resnet50,5.5466628074646,85.102
res2net101_26w_4s,18.502306938171387,85.093
gluon_resnext50_32x4d,6.836404800415039,85.01
resnest26d,9.149255752563477,85.01
tf_efficientnet_b0_ns,7.553682327270508,84.986
coat_tiny,21.694064140319824,84.978
dla169,16.40092372894287,84.92
legacy_seresnext50_32x4d,10.21946907043457,84.897
hrnet_w44,35.05104064941406,84.884
regnetx_080,16.2624454498291,84.867
gluon_resnet50_v1s,6.048216819763184,84.856
res2net50_26w_8s,16.55200719833374,84.85
levit_128,7.457218170166016,84.843
gluon_resnet50_v1d,5.979855060577393,84.83
dla60_res2next,16.676864624023438,84.83
mixnet_l,12.020494937896729,84.822
tv_resnet152,14.778411388397217,84.818
dla102x,12.80745267868042,84.813
dla60_res2net,10.99360704421997,84.809
pit_xs_224,5.574824810028076,84.79
regnetx_064,10.881218910217285,84.781
hrnet_w40,32.84000873565674,84.736
res2net50_26w_6s,13.051064014434814,84.732
repvgg_b2,13.539295196533203,84.722
resmlp_12_distilled_224,3.6040902137756348,84.713
legacy_seresnet152,26.476173400878906,84.698
selecsls60b,6.78408145904541,84.655
hrnet_w32,32.459938526153564,84.649
tf_efficientnetv2_b0,9.069797992706299,84.63
