,fp32,top1,imsize
tf_efficientnet_l2_ns,681.3122296333313,90.56299999999999,800.0
tf_efficientnet_l2_ns_475,280.7985281944275,90.537,475.0
cait_m48_448,556.2820100784302,90.196,448.0
vit_large_patch16_384,79.5830225944519,90.196,384.0
tf_efficientnet_b7_ns,103.03890943527222,90.1,600.0
cait_m36_384,241.93207263946533,90.046,384.0
dm_nfnet_f6,509.15677785873413,90.046,576.0
swin_large_patch4_window12_384,60.2254581451416,90.027,384.0
tf_efficientnetv2_l_in21ft1k,93.13963651657104,90.008,480.0
swin_base_patch4_window12_384,36.01898908615112,89.995,384.0
vit_base_patch16_384,27.246394157409668,89.98899999999999,384.0
cait_s36_384,137.02792882919312,89.844,384.0
swin_large_patch4_window7_224,20.064375400543213,89.796,224.0
vit_large_r50_s32_384,38.56330156326294,89.794,384.0
tf_efficientnet_b6_ns,60.31878471374512,89.78200000000001,528.0
tf_efficientnetv2_m_in21ft1k,50.650856494903564,89.775,480.0
tf_efficientnet_b5_ns,38.72903823852539,89.65100000000001,456.0
tf_efficientnet_b8_ap,149.99229192733765,89.581,672.0
dm_nfnet_f4,324.5601511001587,89.557,512.0
cait_s24_384,91.95441246032715,89.50200000000001,384.0
dm_nfnet_f3,208.75796794891357,89.485,416.0
dm_nfnet_f5,416.36311531066895,89.461,544.0
deit_base_distilled_patch16_384,27.517845630645752,89.429,384.0
tf_efficientnet_b7_ap,103.11571598052979,89.429,600.0
tf_efficientnetv2_l,92.77960300445557,89.367,480.0
tf_efficientnet_b8,150.59494733810425,89.355,672.0
tf_efficientnet_b6_ap,60.478675365448,89.34200000000001,528.0
vit_large_patch16_224,24.927678108215332,89.314,224.0
tf_efficientnet_b4_ns,30.860531330108643,89.305,380.0
tf_efficientnetv2_m,50.62763690948486,89.28399999999999,480.0
swin_base_patch4_window7_224,15.933451652526855,89.145,224.0
eca_nfnet_l2,73.14308166503906,89.141,384.0
cait_xs24_384,85.18592357635498,89.139,384.0
ig_resnext101_32x48d,362.3937916755676,89.12,224.0
ig_resnext101_32x32d,243.0540633201599,89.111,224.0
tf_efficientnet_b7,102.82350778579712,89.086,600.0
ecaresnet269d,80.64383268356323,89.069,352.0
resmlp_big_24_224_in22ft1k,36.44584894180298,89.01100000000001,224.0
dm_nfnet_f2,132.8338122367859,89.009,352.0
efficientnetv2_rw_m,50.98617076873779,88.98700000000001,416.0
tf_efficientnet_b5_ap,38.59375,88.93799999999999,456.0
dm_nfnet_f1,80.64253568649292,88.925,320.0
tf_efficientnetv2_s_in21ft1k,33.555705547332764,88.904,384.0
vit_base_patch16_224,8.101544380187988,88.866,224.0
resnetrs420,165.99584341049194,88.84,416.0
ig_resnext101_32x16d,119.50673341751099,88.834,224.0
resnetrs270,102.45657920837402,88.834,352.0
vit_small_r26_s32_384,16.07172966003418,88.819,384.0
vit_base_r50_s16_384,44.60647106170654,88.80799999999999,384.0
seresnet152d,57.83982515335083,88.795,320.0
swsl_resnext101_32x8d,63.34679841995239,88.77,224.0
tf_efficientnet_b6,60.3957724571228,88.76100000000001,528.0
resnetrs350,130.88914155960083,88.759,384.0
vit_base_patch16_224_miil,7.851285934448242,88.73700000000001,224.0
resnetv2_152x2_bitm,164.62177753448486,88.725,448.0
regnety_160,50.8770489692688,88.697,288.0
pit_b_distilled_224,23.28129529953003,88.676,224.0
vit_small_patch16_384,12.297897338867188,88.652,384.0
eca_nfnet_l1,42.21022367477417,88.624,320.0
resnetrs200,76.03182554244995,88.605,320.0
resnetv2_152x4_bitm,610.906810760498,88.545,480.0
resnet200d,47.637178897857666,88.54299999999999,320.0
resnest269e,121.85580492019653,88.522,416.0
efficientnetv2_rw_s,33.643550872802734,88.473,384.0
resnetv2_101x3_bitm,220.26455163955688,88.464,448.0
cait_s24_224,17.53107786178589,88.447,224.0
resnetv2_50x3_bitm,119.97088432312012,88.443,448.0
resmlp_big_24_distilled_224,36.488635540008545,88.443,224.0
resnest200e,82.75031805038452,88.432,320.0
tf_efficientnet_b3_ns,24.923527240753174,88.426,300.0
vit_large_r50_s32_224,25.936448574066162,88.426,224.0
tf_efficientnetv2_s,33.82120132446289,88.402,384.0
efficientnet_b4,30.89365243911743,88.37200000000001,384.0
resnet152d,37.48584747314453,88.355,320.0
tf_efficientnet_b4_ap,30.958642959594727,88.34899999999999,380.0
tf_efficientnet_b5,38.48245143890381,88.321,456.0
resnetrs152,58.53393793106079,88.251,320.0
deit_base_distilled_patch16_224,8.232343196868896,88.214,224.0
resnetv2_152x2_bit_teacher_384,120.65580368041992,88.15,384.0
ig_resnext101_32x8d,63.340277671813965,88.146,224.0
cait_xxs36_384,79.82808113098145,88.14,384.0
dm_nfnet_f0,36.23260736465454,88.125,256.0
swsl_resnext101_32x4d,45.10894298553467,88.09899999999999,224.0
eca_nfnet_l0,21.97653293609619,87.98,288.0
nfnet_l0,25.072789192199707,87.96700000000001,288.0
tf_efficientnet_b4,30.840539932250977,87.963,380.0
resnet101d,25.911705493927002,87.941,320.0
regnety_032,34.19325828552246,87.93700000000001,288.0
vit_base_patch32_384,8.40101957321167,87.90899999999999,384.0
twins_svt_large,17.415297031402588,87.90100000000001,224.0
twins_pcpvt_large,33.01650047302246,87.87700000000001,224.0
deit_base_patch16_384,27.08406686782837,87.845,384.0
resnetv2_50x1_bit_distilled,15.680091381072998,87.787,224.0
twins_pcpvt_base,23.03375482559204,87.736,224.0
resnetv2_101x1_bitm,40.998923778533936,87.681,448.0
swin_small_patch4_window7_224,15.727837085723877,87.664,224.0
twins_svt_base,17.704596519470215,87.63799999999999,224.0
pnasnet5large,53.48133563995361,87.63600000000001,331.0
swsl_resnext101_32x16d,118.77110242843628,87.615,224.0
swsl_resnext50_32x4d,23.418021202087402,87.6,224.0
tf_efficientnet_b2_ns,22.01782464981079,87.557,260.0
levit_384,9.783318042755127,87.553,224.0
ecaresnet50t,16.986160278320312,87.538,320.0
resnetv2_152x2_bit_teacher,67.48608827590942,87.493,224.0
efficientnet_b3,24.941017627716064,87.435,320.0
cait_xxs24_384,53.56301546096802,87.416,384.0
resnet51q,15.64049243927002,87.395,288.0
coat_lite_small,21.108202934265137,87.38,224.0
nasnetalarge,68.66656303405762,87.35,331.0
ecaresnet101d,30.888094902038574,87.288,224.0
resnest101e,42.74486064910889,87.28399999999999,256.0
pit_s_distilled_224,16.380975246429443,87.277,224.0
resnetrs101,39.43504810333252,87.24700000000001,288.0
mixer_b16_224_miil,5.967974662780762,87.226,224.0
convit_base,12.051944732666016,87.2,224.0
tf_efficientnet_b3_ap,25.10059118270874,87.19200000000001,300.0
visformer_small,15.008840560913086,87.181,224.0
convit_small,8.650243282318115,87.053,224.0
tf_efficientnetv2_b3,26.755173206329346,87.03200000000001,300.0
deit_small_distilled_patch16_224,6.368427276611328,86.993,224.0
resmlp_36_distilled_224,10.460522174835205,86.993,224.0
tnt_s_patch16_224,14.255411624908447,86.90299999999999,224.0
vit_small_patch16_224,6.382865905761719,86.869,224.0
vit_small_r26_s32_224,14.236021041870117,86.863,224.0
ssl_resnext101_32x16d,118.77163887023926,86.85600000000001,224.0
rexnet_200,15.597269535064697,86.846,224.0
tf_efficientnet_b3,24.86647129058838,86.835,300.0
deit_base_patch16_224,8.074183464050293,86.829,224.0
ssl_resnext101_32x8d,62.92789936065674,86.807,224.0
swsl_resnet50,13.253288269042969,86.807,224.0
tf_efficientnet_lite4,17.07280397415161,86.803,380.0
coat_mini,36.04537487030029,86.79299999999999,224.0
twins_svt_small,13.34057092666626,86.756,224.0
levit_256,9.783623218536377,86.728,224.0
seresnext50_32x4d,30.111424922943115,86.699,224.0
pit_b_224,22.816636562347412,86.686,224.0
tf_efficientnet_b1_ns,22.025365829467773,86.669,240.0
swin_tiny_patch4_window7_224,8.557002544403076,86.664,224.0
gernet_l,12.576262950897217,86.654,256.0
wide_resnet50_2,16.69198513031006,86.647,224.0
efficientnet_el,14.113028049468994,86.635,300.0
resmlp_24_distilled_224,7.340612411499023,86.62200000000001,224.0
twins_pcpvt_small,13.705272674560547,86.62,224.0
nf_resnet50,16.528451442718506,86.609,288.0
resnest50d_4s2x40d,24.056780338287354,86.59200000000001,224.0
efficientnet_b3_pruned,24.966726303100586,86.581,300.0
repvgg_b3,28.252103328704834,86.566,224.0
ssl_resnext101_32x4d,45.07107496261597,86.479,224.0
ecaresnet50d,16.41528844833374,86.47,224.0
gluon_resnet152_v1s,36.24826669692993,86.46799999999999,224.0
resnest50d_1s4x24d,22.795162200927734,86.447,224.0
resnetv2_50x1_bitm,23.91517400741577,86.436,448.0
repvgg_b3g4,27.49490261077881,86.361,224.0
legacy_senet154,118.89943361282349,86.34200000000001,224.0
cait_xxs36_224,25.418710708618164,86.34,224.0
gernet_m,10.411837100982666,86.319,224.0
pit_s_224,16.34552240371704,86.316,224.0
vit_small_patch32_384,7.977423667907715,86.31200000000001,384.0
efficientnet_b2,21.932315826416016,86.304,288.0
